KNN,SVM,XGBoost,DrugBank ID,SMILES
1,1,0,DB12079,[H]\C(CC\C(C)=C(/[H])CCC(=O)OC\C([H])=C(/C)CCC=C(C)C)=C(\C)CCC=C(C)C
0,1,1,DB12120,COC1=CC(=C(C=C1C=C)C(=O)NC1=CC=C(C=C1)C(N)=N)C1=CC=C(N=C1C(O)=O)C(=O)NCC1CC1
1,1,0,DB12138,CC(C)(C)C1=NN(C(NC(=O)NCC2=CC=CC=C2SC2=CN3C(C=C2)=NN=C3C2=CC=CC=C2SCCO)=C1)C1=CC=C(O)C(Cl)=C1
1,1,0,DB12148,[H]\C(CC\C(C)=C(/[H])CC\C(C)=C(/[H])CC1=C(C)C(=O)C2=CC=CC=C2C1=O)=C(\C)CCC=C(C)C
0,1,1,DB12178,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)C1=CC=C2C=CC=CC2=N1)C(=O)NC(C)(C)C
0,1,1,DB12232,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CCCCCCCCCCCCCC
0,1,1,DB12285,CN1C(N)=N[C@@](C)(CS1(=O)=O)C1=CC(NC(=O)C2=CC=C(F)C=N2)=CC=C1F
0,1,1,DB12288,COC1=CC=C2NC=C(CCNC(=O)C3=CC(=O)C=CO3)C2=C1
1,1,0,DB12326,COC1=C(OC)C(=O)[C@H](C)[C@@H](C\C=C(/C)CC\C=C(/C)CCC=C(C)C)[C@H]1O
0,1,1,DB12391,C[C@H]1CCC[C@@]2(C)O[C@H]2C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](CC=C)[C@H]1O)C1=CC=C2SC(C)=NC2=C1
1,1,0,DB12439,OCC(O)CNC(=O)C1=C(I)C(C(=O)NCC(O)CO)=C(I)C(N(CC(O)CN(C=O)C2=C(I)C(C(=O)NCC(O)CO)=C(I)C(C(=O)NCC(O)CO)=C2I)C=O)=C1I
0,1,1,DB12441,NCCCC[C@@H]1NC(=O)[C@H](CCC(O)=O)NC(=O)C2=C(OCC[C@H](NC1=O)C(=O)NCC(O)=O)C=CC(=C2)[N+]([O-])=O
1,1,0,DB12492,NC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)N1CCCCC1
1,1,0,DB12513,CC(F)(F)C(=O)N[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2
0,1,1,DB12547,NC1=N[C@]2(COC[C@H]2CS1)C1=C(F)C=CC(NC(=O)C2=CC=C(F)C=N2)=C1
0,1,1,DB12565,CN(C)CC1=C(OC2=CC=CC=C12)C(=O)NCCOC1=CC=C(C=C1)C(=O)NO
1,1,0,DB12598,NC(=N)NC1=CC=C(C=C1)C(=O)OC1=CC2=C(C=C1)C=C(C=C2)C(N)=N
0,1,1,DB12669,COC1=CC=C(C)C=C1NC(=O)NC1=NC2=CC=C(NC3=NC=NC4=CC(OCCCN5CCN(C)CC5)=C(OC)C=C34)C=C2S1
0,1,0,DB12692,NCCCNCCCCNC(=O)C(O)NC(=O)CCCCCCNC(N)=N
1,1,0,DB12710,CN1CCN(CCCN2C3=CC=CC=C3SC3=CC=CC=C23)CC1
0,1,1,DB12831,CCOC(=O)C1=CC=C(OC(=O)CCCCCNC(N)=N)C=C1
0,1,0,DB12991,NCCCNCCCCNC(=O)[C@H](O)NC(=O)CCCCCCNC(N)=N
0,1,1,DB13005,CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC(=NN3C3=CC4=CC=CN=C4C=C3)C(C)(C)C)C(F)=C2)=CC=N1
1,1,0,DB13060,CNC(=O)C1=CC=CC=C1NC1=C(Cl)C=NC(NC2=CC=C3C[C@H](CCCC3=C2OC)N2CCN(CCO)CC2)=N1
0,1,1,DB13207,N[C@@H](CCC(O)=O)C(O)=O.N[C@@H](CCCNC(N)=N)C(O)=O
0,1,1,DB13239,O[C@H]1CC[C@@H](CC1)NCC1=CC(Br)=CC(Br)=C1NC(=O)C1=CC=CS1
1,1,0,DB13290,F.F.CCCCCCCCCCCCCCCCCCN(CCO)CCCN(CCO)CCO
0,1,1,DB13291,OC(C1=CC2=CC=CC=C2O1)C1=CC=C(Cl)C=C1
0,1,1,DB13659,O=C(NC1=NC=C(S1)N(=O)=O)C1=CC=CS1
0,1,1,DB13748,OC(=O)C1CSC(N1)C(O)=O.N[C@@H](CCCNC(N)=N)C(O)=O
1,0,0,DB13841,[H]C(CCN1CCN(CCO)CC1)=C1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2
0,1,1,DB13876,COC1=CC2=C(OC(=C2)C2CCNCC2)C(Br)=C1
1,1,0,DB13944,[H][C@@]12CC[C@H](OC(=O)CCCCCC)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
0,1,1,DB14070,[H]N(C(=O)C1=CC(=O)C2=CC=CC=C2O1)C1=CC(OC)=C(OC)C=C1C1=NN(N=N1)C1=CC=C(CCN2CCC3=CC(OC)=C(OC)C=C3C2)C=C1
0,1,1,DB14111,CCCCCCCCCCCCCC[C@@H](O)[C@@H](O)[C@H](CO)NC(=O)CCCCCCC\C=C/CCCCCCCC
0,1,1,DB14706,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)CCCCCCCCCCCCCCC
0,1,1,DB14911,C[C@@H](O)[C@H](NC(=O)[C@H](CS(O)(=O)=O)NC(=O)CNC(=O)[C@H](CCCNC(N)=N)NC(=O)CN)C(=O)N1CCC[C@H]1C(O)=O
1,1,0,DB14936,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC1=C(C)C(=O)C2=C(C=CC=C2)C1=O
